index,chrom,type_prot,start_chrom,end_chrom,gene_name,gene_biotype,gene_id,transcript_name,transcript_id,tss_id
253263,3L,UTR,11361986,11362604,CG6163,protein_coding,FBgn0036155,CG6163-RA,FBtr0076181,TSS6952
253281,3L,exon,11364683,11365897,CR45036,lincRNA,FBgn0266396,CR45036-RA,FBtr0344308,TSS9931
253287,3L,exon,11382808,11383611,CR42755,lincRNA,FBgn0261813,CR42755-RB,FBtr0344645,TSS3401
253290,3L,UTR,11394690,11394770,CG11726,protein_coding,FBgn0036156,CG11726-RA,FBtr0076172,TSS8152
253297,3L,CDS,11397542,11397862,CG44362,protein_coding,FBgn0265469,CG44362-RA,FBtr0339928,TSS10816
253302,3L,exon,11405535,11406094,CR44363,lincRNA,FBgn0265470,CR44363-RA,FBtr0339929,TSS3711
253304,3L,UTR,11425158,11425181,CG7560,protein_coding,FBgn0036157,CG7560-RA,FBtr0076173,TSS7753
253315,3L,UTR,11434695,11434756,CG6149,protein_coding,FBgn0036158,CG6149-RB,FBtr0300274,TSS7318
253322,3L,exon,11435650,11436206,CR44548,lincRNA,FBgn0265741,CR44548-RA,FBtr0340698,TSS16422
253324,3L,exon,11444472,11445104,CR44549,lincRNA,FBgn0265742,CR44549-RA,FBtr0340699,TSS22482
253326,3L,UTR,11445161,11445298,CG7557,protein_coding,FBgn0036159,CG7557-RA,FBtr0076174,TSS18340
253346,3L,UTR,11457076,11457155,CG12289,protein_coding,FBgn0036160,CG12289-RA,FBtr0076178,TSS2692
253353,3L,UTR,11458490,11458559,CG7551,protein_coding,FBgn0036161,CG7551-RB,FBtr0076176,TSS16287
253360,3L,UTR,11463570,11463767,CG6140,protein_coding,FBgn0036162,CG6140-RB,FBtr0331828,TSS9062
253384,3L,UTR,11473291,11473345,Vha16-3,protein_coding,FBgn0028667,Vha16-3-RB,FBtr0302359,TSS8124
253400,3L,exon,11474820,11475460,CR46049,lincRNA,FBgn0267716,CR46049-RA,FBtr0347255,TSS12561
253402,3L,UTR,11474958,11474997,Vha16-2,protein_coding,FBgn0028668,Vha16-2-RA,FBtr0076091,TSS21956
253409,3L,UTR,11487550,11488534,chrb,protein_coding,FBgn0036165,chrb-RC,FBtr0076093,TSS8572
253435,3L,CDS,11508637,11508900,CG33500,protein_coding,FBgn0053500,CG33500-RA,FBtr0076094,TSS16747
253440,3L,UTR,11508967,11509058,Sgs8,protein_coding,FBgn0003378,Sgs8-RA,FBtr0076160,TSS15911
253449,3L,UTR,11509861,11509895,Sgs7,protein_coding,FBgn0003377,Sgs7-RA,FBtr0076095,TSS13871
253458,3L,exon,11510323,11510589,CG33272,protein_coding,FBgn0053272,CG33272-RA,FBtr0076159,TSS479
253463,3L,UTR,11512221,11512234,Sgs3,protein_coding,FBgn0003373,Sgs3-RA,FBtr0076096,TSS18769
253472,3L,UTR,11513705,11513875,CG7512,protein_coding,FBgn0036168,CG7512-RB,FBtr0113163,TSS12293
253489,3L,UTR,11518797,11519014,CG11714,protein_coding,FBgn0036170,CG11714-RD,FBtr0346859,TSS18957
253492,3L,UTR,11518798,11518909,Fuca,protein_coding,FBgn0036169,Fuca-RC,FBtr0346860,TSS18957
253562,3L,UTR,11522757,11524480,Mob2,protein_coding,FBgn0259481,Mob2-RA,FBtr0089332,TSS21672
253623,3L,exon,11552539,11552693,mir-4968,pre_miRNA,FBgn0263569,mir-4968-RM,FBtr0309720,TSS9881
253637,3L,UTR,11561996,11562085,CG7394,protein_coding,FBgn0036173,CG7394-RD,FBtr0333215,TSS7159
253681,3L,UTR,11564483,11564741,CG33267,protein_coding,FBgn0053267,CG33267-RB,FBtr0305649,TSS4214
253690,3L,UTR,11572797,11572886,CG33490,protein_coding,FBgn0053490,CG33490-RA,FBtr0089526,TSS6743
253701,3L,UTR,11574764,11574825,CG33489,protein_coding,FBgn0053489,CG33489-RB,FBtr0333216,TSS3806
253723,3L,UTR,11577006,11577168,CG33271,protein_coding,FBgn0053271,CG33271-RA,FBtr0076150,TSS164
253730,3L,UTR,11578236,11578286,CG33270,protein_coding,FBgn0053270,CG33270-RA,FBtr0076149,TSS14709
253737,3L,UTR,11579743,11579776,CG43390,protein_coding,FBgn0263247,CG43390-RA,FBtr0308059,TSS3627
253744,3L,UTR,11580829,11580863,CG43391,protein_coding,FBgn0263248,CG43391-RA,FBtr0308058,TSS18630
253751,3L,UTR,11581415,11581849,CG33269,protein_coding,FBgn0053269,CG33269-RB,FBtr0308057,TSS17482
253765,3L,UTR,11582401,11582441,CG32086,protein_coding,FBgn0052086,CG32086-RB,FBtr0305322,TSS5662
253787,3L,UTR,11584122,11584290,rt,protein_coding,FBgn0003292,rt-RA,FBtr0076146,TSS5715
253800,3L,CDS,11589695,11589976,CG7377,protein_coding,FBgn0036176,CG7377-RA,FBtr0076100,TSS13921
253805,3L,UTR,11590872,11590937,CG33268,protein_coding,FBgn0036177,CG33268-RA,FBtr0076145,TSS16194
253812,3L,exon,11592447,11592790,CR45672,lincRNA,FBgn0267232,CR45672-RA,FBtr0346404,TSS514
253814,3L,exon,11592451,11592783,CR45442,lincRNA,FBgn0266991,CR45442-RA,FBtr0345913,TSS15113
253816,3L,exon,11593447,11593709,CR45671,lincRNA,FBgn0267231,CR45671-RA,FBtr0346403,TSS15927
253817,3L,exon,11593447,11593712,CR45443,lincRNA,FBgn0266992,CR45443-RA,FBtr0345914,TSS7256
253820,3L,UTR,11597202,11597459,CG7368,protein_coding,FBgn0036179,CG7368-RB,FBtr0110884,TSS4528
253823,3L,exon,11599636,11599947,CG14137,protein_coding,FBgn0036178,CG14137-RA,FBtr0076144,TSS4549
253851,3L,UTR,11605436,11606103,CG6091,protein_coding,FBgn0036180,CG6091-RF,FBtr0273306,TSS18250
253933,3L,CDS,11610135,11610329,CG42832,protein_coding,FBgn0262021,CG42832-RA,FBtr0303851,TSS21941
253939,3L,UTR,11610578,11610664,Muc68Ca,protein_coding,FBgn0036181,Muc68Ca-RA,FBtr0076140,TSS15065
253946,3L,UTR,11620535,11620619,CG6084,protein_coding,FBgn0086254,CG6084-RA,FBtr0076139,TSS14971
254014,3L,UTR,11624528,11624725,CG6083,protein_coding,FBgn0036183,CG6083-RA,FBtr0076137,TSS18572
254027,3L,UTR,11626441,11626479,PCID2,protein_coding,FBgn0036184,PCID2-RA,FBtr0076102,TSS8945
254034,3L,UTR,11628037,11628126,CG18815,protein_coding,FBgn0042138,CG18815-RB,FBtr0076104,TSS8478
254089,3L,exon,11629505,11629526,mir-3642,pre_miRNA,FBgn0263632,mir-3642-RA,FBtr0309670,TSS901
254119,3L,UTR,11631392,11631590,CG32091,protein_coding,FBgn0052091,CG32091-RB,FBtr0076106,TSS22446
254122,3L,exon,11632705,11633303,CR45158,lincRNA,FBgn0266651,CR45158-RA,FBtr0344953,TSS243
254140,3L,UTR,11642906,11642942,CG6071,protein_coding,FBgn0036186,CG6071-RA,FBtr0076136,TSS7608
254152,3L,UTR,11646234,11646421,RIOK1,protein_coding,FBgn0036187,RIOK1-RA,FBtr0076134,TSS19333
254176,3L,UTR,11648756,11648840,CG7339,protein_coding,FBgn0036188,CG7339-RA,FBtr0076107,TSS412
254198,3L,UTR,11650517,11650969,CG32085,protein_coding,FBgn0052085,CG32085-RA,FBtr0076133,TSS4038
254205,3L,exon,11656918,11657017,mir-274,pre_miRNA,FBgn0262437,mir-274-RM,FBtr0304420,TSS13815
254209,3L,exon,11666319,11667079,CR45881,lincRNA,FBgn0267541,CR45881-RA,FBtr0346935,TSS1259
254211,3L,exon,11667278,11667898,CR45880,lincRNA,FBgn0267540,CR45880-RA,FBtr0346936,TSS18906
254213,3L,exon,11667284,11667825,CR45883,lincRNA,FBgn0267543,CR45883-RA,FBtr0346939,TSS4279
254217,3L,exon,11668211,11668877,CR45882,lincRNA,FBgn0267542,CR45882-RA,FBtr0346937,TSS19115
254221,3L,exon,11672613,11672974,CR45884,lincRNA,FBgn0267544,CR45884-RA,FBtr0346938,TSS13972
254229,3L,UTR,11682038,11682222,TfIIEalpha,protein_coding,FBgn0015828,TfIIEalpha-RA,FBtr0076108,TSS716
254240,3L,UTR,11683980,11684581,Sug,protein_coding,FBgn0036191,Sug-RC,FBtr0273362,TSS14680
254267,3L,exon,11687344,11688390,CR45885,lincRNA,FBgn0267545,CR45885-RA,FBtr0346934,TSS718
254291,3L,UTR,11689631,11690012,Pallidin,protein_coding,FBgn0036192,Pallidin-RB,FBtr0300097,TSS1176
254306,3L,UTR,11691571,11691693,CG14135,protein_coding,FBgn0036193,CG14135-RC,FBtr0332762,TSS13844
254330,3L,exon,11693135,11693661,CR43887,lincRNA,FBgn0264479,CR43887-RA,FBtr0332763,TSS22169
254332,3L,UTR,11693879,11694145,CG11652,protein_coding,FBgn0036194,CG11652-RB,FBtr0076131,TSS12896
254365,3L,UTR,11697126,11697211,CG6053,protein_coding,FBgn0036195,CG6053-RC,FBtr0332765,TSS17420
254395,3L,UTR,11699496,11700696,CG11658,protein_coding,FBgn0036196,CG11658-RC,FBtr0076126,TSS15880
254470,3L,UTR,11708979,11709083,Ccdc56,protein_coding,FBgn0261353,Ccdc56-RA,FBtr0302271,TSS743
254471,3L,UTR,11708979,11709435,mtTFB1,protein_coding,FBgn0261381,mtTFB1-RA,FBtr0302272,TSS743
254487,3L,UTR,11710507,11710673,crim,protein_coding,FBgn0036198,crim-RA,FBtr0076123,TSS17260
254498,3L,UTR,11712229,11712602,CG14132,protein_coding,FBgn0040817,CG14132-RB,FBtr0113334,TSS14394
254507,3L,UTR,11720934,11721124,Bmcp,protein_coding,FBgn0036199,Bmcp-RA,FBtr0076114,TSS2403
254539,3L,UTR,11728345,11728416,CG32088,protein_coding,FBgn0052088,CG32088-RB,FBtr0332764,TSS12161
254564,3L,UTR,11732144,11732223,CG32087,protein_coding,FBgn0052087,CG32087-RA,FBtr0076117,TSS21757
254571,3L,UTR,11733589,11736765,CG6024,protein_coding,FBgn0036202,CG6024-RF,FBtr0332132,TSS21233
254601,3L,CDS,11751305,11752471,Gr68a,protein_coding,FBgn0041231,Gr68a-RA,FBtr0076118,TSS7506
254618,3L,UTR,11767299,11767539,Muc68D,protein_coding,FBgn0036203,Muc68D-RB,FBtr0076119,TSS5122
254627,3L,exon,11773012,11773101,mir-314,pre_miRNA,FBgn0262396,mir-314-RM,FBtr0304290,TSS9387
254631,3L,exon,11773731,11773878,mir-956,pre_miRNA,FBgn0262291,mir-956-RM,FBtr0304425,TSS13421
254635,3L,UTR,11774060,11774133,Tim13,protein_coding,FBgn0036204,Tim13-RA,FBtr0076089,TSS15998
254642,3L,UTR,11774650,11775723,Pi3K68D,protein_coding,FBgn0015278,Pi3K68D-RA,FBtr0076088,TSS15277
254675,3L,UTR,11777073,11777221,CG14131,protein_coding,FBgn0036205,CG14131-RB,FBtr0332128,TSS21624
254811,3L,UTR,11790212,11790277,CG5964,protein_coding,FBgn0036206,CG5964-RA,FBtr0076085,TSS4146
254820,3L,UTR,11793514,11793586,CG10907,protein_coding,FBgn0036207,CG10907-RA,FBtr0076029,TSS19353
254833,3L,UTR,11795614,11795671,Klp68D,protein_coding,FBgn0004381,Klp68D-RB,FBtr0332129,TSS21396
254855,3L,UTR,11798948,11799018,CG10361,protein_coding,FBgn0036208,CG10361-RA,FBtr0076084,TSS7354
254868,3L,exon,11801471,11801542,tRNA:CR32093,tRNA,FBgn0052093,tRNA:CR32093-RA,FBtr0076083,TSS18165
254870,3L,UTR,11801951,11802084,CG42255,protein_coding,FBgn0259140,CG42255-RB,FBtr0332131,TSS6900
254909,3L,UTR,11815444,11815499,CG14130,protein_coding,FBgn0036210,CG14130-RA,FBtr0076031,TSS22970
254922,3L,UTR,11816695,11817143,CG5946,protein_coding,FBgn0036211,CG5946-RB,FBtr0076078,TSS8248
254991,3L,UTR,11820338,11820478,CG11597,protein_coding,FBgn0036212,CG11597-RB,FBtr0110780,TSS22185
255050,3L,UTR,11822851,11822885,RpL10Ab,protein_coding,FBgn0036213,RpL10Ab-RF,FBtr0345073,TSS5481
255060,3L,exon,11822984,11823124,snoRNA:Psi18S-920,snoRNA,FBgn0083015,snoRNA:Psi18S-920-RA,FBtr0113610,TSS9186
255074,3L,UTR,11824207,11824296,CG32095,protein_coding,FBgn0052095,CG32095-RA,FBtr0076077,TSS17062
255081,3L,UTR,11826719,11827651,CycA,protein_coding,FBgn0000404,CycA-RC,FBtr0304650,TSS19447
255103,3L,UTR,11829030,11829189,CG7264,protein_coding,FBgn0036214,CG7264-RA,FBtr0076035,TSS21360
255139,3L,UTR,11834721,11835246,CG43064,protein_coding,FBgn0262366,CG43064-RB,FBtr0345119,TSS19858
255153,3L,UTR,11847383,11847513,CG12521,protein_coding,FBgn0040816,CG12521-RA,FBtr0076074,TSS12628
255160,3L,UTR,11850645,11851705,CG44837,protein_coding,FBgn0266100,CG44837-RB,FBtr0343552,TSS20388
255200,3L,UTR,11870457,11870646,CG5906,protein_coding,FBgn0036217,CG5906-RA,FBtr0076071,TSS11485
255207,3L,UTR,11879115,11879139,CG14128,protein_coding,FBgn0036218,CG14128-RF,FBtr0332127,TSS17172
255253,3L,CDS,11881384,11881453,CCDC151,protein_coding,FBgn0036219,CCDC151-RA,FBtr0076037,TSS22391
255268,3L,UTR,11887259,11887884,CG5897,protein_coding,FBgn0036220,CG5897-RB,FBtr0302207,TSS14958
255277,3L,exon,11898605,11898677,CR43624,lincRNA,FBgn0263615,CR43624-RA,FBtr0309979,TSS21300
255280,3L,UTR,11921513,11921615,CG11588,protein_coding,FBgn0036221,CG11588-RB,FBtr0332069,TSS11628
255294,3L,UTR,11922610,11922735,CG5718,protein_coding,FBgn0036222,CG5718-RA,FBtr0076069,TSS16589
255301,3L,UTR,11927693,11928023,byn,protein_coding,FBgn0011723,byn-RB,FBtr0332070,TSS248
255345,3L,UTR,11941912,11942103,Rpt4R,protein_coding,FBgn0036224,Rpt4R-RB,FBtr0346545,TSS580
255363,3L,UTR,11943640,11943715,CG5883,protein_coding,FBgn0036225,CG5883-RA,FBtr0076067,TSS19777
255372,3L,exon,11946093,11946191,mir-285,pre_miRNA,FBgn0262401,mir-285-RM,FBtr0304307,TSS5248
255376,3L,UTR,11947675,11947721,CG7252,protein_coding,FBgn0036226,CG7252-RA,FBtr0076041,TSS21132
255385,3L,UTR,11949839,11949872,CG17826,protein_coding,FBgn0036227,CG17826-RA,FBtr0076042,TSS1152
255394,3L,UTR,11952301,11952398,obst-G,protein_coding,FBgn0036228,obst-G-RA,FBtr0076066,TSS12864
255403,3L,UTR,11954083,11954244,CG7248,protein_coding,FBgn0036229,CG7248-RA,FBtr0076043,TSS10434
255410,3L,UTR,11956708,11956813,CG11570,protein_coding,FBgn0036230,CG11570-RA,FBtr0076065,TSS7441
255432,3L,UTR,11958291,11958322,CG43294,protein_coding,FBgn0262986,CG43294-RA,FBtr0306823,TSS6545
255448,3L,UTR,11958872,11959121,prc,protein_coding,FBgn0028573,prc-RB,FBtr0076064,TSS19856
255471,3L,UTR,11967343,11967518,Muc68E,protein_coding,FBgn0053265,Muc68E-RA,FBtr0076063,TSS15980
255479,3L,UTR,11973085,11973162,CG42397,protein_coding,FBgn0259748,CG42397-RA,FBtr0300506,TSS15717
255488,3L,UTR,11974905,11974921,CG14125,protein_coding,FBgn0036232,CG14125-RB,FBtr0310535,TSS3343
255506,3L,UTR,11976111,11976163,CG43896,protein_coding,FBgn0264488,CG43896-RD,FBtr0345688,TSS5598
255585,3L,UTR,11984906,11985272,CG6938,protein_coding,FBgn0036235,CG6938-RC,FBtr0330171,TSS403
255647,3L,UTR,11990736,11990782,CG6931,protein_coding,FBgn0036236,CG6931-RA,FBtr0076048,TSS6861
255660,3L,UTR,11991853,11992152,viaf,protein_coding,FBgn0036237,viaf-RA,FBtr0076062,TSS12824
255669,3L,UTR,11993274,11993752,Grip163,protein_coding,FBgn0026432,Grip163-RA,FBtr0076061,TSS17783
255684,3L,UTR,11998398,11998870,Pop2,protein_coding,FBgn0036239,Pop2-RC,FBtr0076060,TSS6275
255747,3L,UTR,12003155,12003294,CG6928,protein_coding,FBgn0036240,CG6928-RD,FBtr0332710,TSS14267
255815,3L,UTR,12008225,12008497,rols,protein_coding,FBgn0041096,rols-RC,FBtr0076057,TSS14497
255922,3L,exon,12027801,12028153,CR43994,lincRNA,FBgn0264726,CR43994-RA,FBtr0334107,TSS12759
255942,3L,UTR,12032557,12032569,CG43993,protein_coding,FBgn0264725,CG43993-RA,FBtr0334108,TSS2154
255951,3L,UTR,12042387,12042409,CG6793,protein_coding,FBgn0036242,CG6793-RA,FBtr0076051,TSS13250
255960,3L,UTR,12044579,12044712,CG43638,protein_coding,FBgn0263647,CG43638-RA,FBtr0310008,TSS8700
256019,3L,UTR,12067511,12068134,Sema-5c,protein_coding,FBgn0250876,Sema-5c-RA,FBtr0076052,TSS7579
256077,3L,UTR,12088626,12088703,CG17154,protein_coding,FBgn0036246,CG17154-RA,FBtr0075990,TSS17092
256084,3L,UTR,12116101,12116231,l(3)j2D3,protein_coding,FBgn0011335,l(3)j2D3-RA,FBtr0075991,TSS1626
256097,3L,UTR,12118257,12118314,ssp,protein_coding,FBgn0036248,ssp-RA,FBtr0075992,TSS23232
256108,3L,UTR,12120019,12120081,CG11560,protein_coding,FBgn0036249,CG11560-RA,FBtr0075993,TSS13200
256117,3L,UTR,12121274,12122663,yps,protein_coding,FBgn0022959,yps-RB,FBtr0305992,TSS1375
256141,3L,exon,12125487,12127394,Ir68b,protein_coding,FBgn0036250,Ir68b-RA,FBtr0076026,TSS20902
256146,3L,UTR,12127979,12128098,CG34241,protein_coding,FBgn0250825,CG34241-RA,FBtr0112435,TSS12362
256155,3L,exon,12129103,12131488,CR11538,lincRNA,FBgn0017424,CR11538-RC,FBtr0347179,TSS17511
256157,3L,UTR,12129393,12129409,Lsp2,protein_coding,FBgn0002565,Lsp2-RA,FBtr0089324,TSS2735
256171,3L,UTR,12132146,12132222,CG11534,protein_coding,FBgn0046296,CG11534-RA,FBtr0075995,TSS8698
256176,3L,exon,12132455,12133035,CR45892,lincRNA,FBgn0267552,CR45892-RA,FBtr0346927,TSS2455
256183,3L,UTR,12133771,12133875,CG5645,protein_coding,FBgn0036254,CG5645-RA,FBtr0076024,TSS22835
256196,3L,UTR,12136967,12137015,Atg12,protein_coding,FBgn0036255,Atg12-RB,FBtr0300011,TSS5554
256207,3L,UTR,12137496,12137639,l(3)neo18,protein_coding,FBgn0011455,l(3)neo18-RA,FBtr0076023,TSS9897
256233,3L,UTR,12138868,12138951,RhoGAP68F,protein_coding,FBgn0036257,RhoGAP68F-RC,FBtr0334091,TSS22467
256303,3L,UTR,12143446,12143550,CG5642,protein_coding,FBgn0036258,CG5642-RA,FBtr0076022,TSS17294
256316,3L,UTR,12146519,12146854,Nrx-IV,protein_coding,FBgn0013997,Nrx-IV-RB,FBtr0075999,TSS20619
256330,3L,UTR,12149273,12149366,eap,protein_coding,FBgn0052099,eap-RA,FBtr0076000,TSS3308
256381,3L,UTR,12157052,12157838,CG9760,protein_coding,FBgn0036259,CG9760-RD,FBtr0330196,TSS7887
256403,3L,UTR,12164205,12165981,Rh7,protein_coding,FBgn0036260,Rh7-RA,FBtr0076020,TSS15581
256416,3L,UTR,12177601,12177669,CAH2,protein_coding,FBgn0027843,CAH2-RB,FBtr0333381,TSS6492
256442,3L,UTR,12184984,12185052,CG6910,protein_coding,FBgn0036262,CG6910-RC,FBtr0333382,TSS7582
256468,3L,UTR,12188818,12188858,Est-6,protein_coding,FBgn0000592,Est-6-RA,FBtr0076003,TSS20167
256486,3L,UTR,12190696,12192424,thoc6,protein_coding,FBgn0036263,thoc6-RC,FBtr0346911,TSS6917
256489,3L,UTR,12190733,12190737,Est-P,protein_coding,FBgn0000594,Est-P-RA,FBtr0076004,TSS3198
256526,3L,exon,12195787,12196049,CR45746,lincRNA,FBgn0267310,CR45746-RA,FBtr0346565,TSS20177
256528,3L,UTR,12197791,12197906,CG11529,protein_coding,FBgn0036264,CG11529-RA,FBtr0076005,TSS14081
256535,3L,UTR,12200322,12200536,Adk1,protein_coding,FBgn0022709,Adk1-RB,FBtr0076018,TSS16047
256563,3L,UTR,12204123,12204406,CG5626,protein_coding,FBgn0036266,CG5626-RA,FBtr0076016,TSS14512
256578,3L,UTR,12206238,12207101,app,protein_coding,FBgn0260941,app-RL,FBtr0301056,TSS1793
256798,3L,exon,12245510,12246048,CR43991,lincRNA,FBgn0264723,CR43991-RB,FBtr0344637,TSS11981
256832,3L,UTR,12267528,12267629,CG32100,protein_coding,FBgn0052100,CG32100-RA,FBtr0076006,TSS12739
256841,3L,UTR,12269452,12270291,Pbgs,protein_coding,FBgn0036271,Pbgs-RB,FBtr0333357,TSS9616
256855,3L,UTR,12271656,12272184,CG4300,protein_coding,FBgn0036272,CG4300-RC,FBtr0346392,TSS18961
256907,3L,UTR,12277655,12277736,CG10426,protein_coding,FBgn0036273,CG10426-RA,FBtr0076007,TSS12506
256935,3L,exon,12289304,12290161,CR45658,lincRNA,FBgn0267218,CR45658-RA,FBtr0346386,TSS4475
256937,3L,UTR,12290956,12291035,CG4328,protein_coding,FBgn0036274,CG4328-RB,FBtr0301071,TSS3891
256954,3L,exon,12300980,12301540,CR44550,lincRNA,FBgn0265743,CR44550-RA,FBtr0340700,TSS22212
256957,3L,exon,12302162,12302551,CR44551,lincRNA,FBgn0265744,CR44551-RA,FBtr0340701,TSS11391
256959,3L,UTR,12310805,12310917,CG44355,protein_coding,FBgn0265455,CG44355-RA,FBtr0339812,TSS12943
256970,3L,UTR,12329232,12329469,CG32105,protein_coding,FBgn0052105,CG32105-RC,FBtr0333837,TSS8549
256992,3L,UTR,12336676,12336714,CG10418,protein_coding,FBgn0036277,CG10418-RA,FBtr0075954,TSS12089
257003,3L,exon,12337352,12337699,CR45444,lincRNA,FBgn0266993,CR45444-RA,FBtr0345915,TSS17326
257005,3L,UTR,12339116,12339883,CrzR,protein_coding,FBgn0036278,CrzR-RB,FBtr0330069,TSS766
257039,3L,UTR,12368646,12368712,Ncc69,protein_coding,FBgn0036279,Ncc69-RD,FBtr0333839,TSS2922
257271,3L,exon,12380252,12381470,CR45824,lincRNA,FBgn0267474,CR45824-RA,FBtr0346846,TSS471
257285,3L,UTR,12393804,12393868,CG32104,protein_coding,FBgn0052104,CG32104-RB,FBtr0075986,TSS7230
257300,3L,UTR,12396171,12396205,Obp69a,protein_coding,FBgn0011279,Obp69a-RA,FBtr0075955,TSS688
257331,3L,UTR,12399539,12399596,Smyd4,protein_coding,FBgn0036282,Smyd4-RA,FBtr0075985,TSS4631
257346,3L,UTR,12402295,12404054,CG32103,protein_coding,FBgn0052103,CG32103-RE,FBtr0332090,TSS5774
257413,3L,UTR,12415026,12415335,ArfGAP1,protein_coding,FBgn0020655,ArfGAP1-RA,FBtr0075981,TSS4627
257441,3L,UTR,12422510,12422631,toe,protein_coding,FBgn0036285,toe-RA,FBtr0075980,TSS20381
257475,3L,UTR,12462537,12463268,eyg,protein_coding,FBgn0000625,eyg-RC,FBtr0339921,TSS2071
257522,3L,UTR,12469072,12469156,CG32102,protein_coding,FBgn0052102,CG32102-RA,FBtr0075978,TSS18188
257531,3L,UTR,12471728,12471836,CG10616,protein_coding,FBgn0036286,CG10616-RC,FBtr0346569,TSS12290
257578,3L,UTR,12474418,12475006,CG10663,protein_coding,FBgn0036287,CG10663-RD,FBtr0346570,TSS12606
257616,3L,CDS,12482609,12482656,CG33725,protein_coding,FBgn0053725,CG33725-RC,FBtr0346651,TSS4200
257640,3L,UTR,12486668,12486811,CG10660,protein_coding,FBgn0036288,CG10660-RD,FBtr0332647,TSS17834
257708,3L,exon,12490294,12491196,CR45681,lincRNA,FBgn0267241,CR45681-RA,FBtr0346431,TSS12670
257710,3L,UTR,12491830,12492142,CG10657,protein_coding,FBgn0036289,CG10657-RA,FBtr0075975,TSS10566
257713,3L,exon,12491840,12493605,CR45682,lincRNA,FBgn0267242,CR45682-RA,FBtr0346432,TSS9238
257726,3L,UTR,12498106,12498489,CG10638,protein_coding,FBgn0036290,CG10638-RD,FBtr0345350,TSS18339
257732,3L,exon,12498487,12498642,CR43868,lincRNA,FBgn0264460,CR43868-RA,FBtr0332780,TSS8656
257776,3L,UTR,12501513,12501718,CG10681,protein_coding,FBgn0036291,CG10681-RA,FBtr0075957,TSS7793
257794,3L,UTR,12502467,12502624,CG10646,protein_coding,FBgn0036292,CG10646-RA,FBtr0075972,TSS13716
257807,3L,UTR,12504292,12504545,vih,protein_coding,FBgn0264848,vih-RA,FBtr0075958,TSS18458
257816,3L,UTR,12505374,12505809,CG10654,protein_coding,FBgn0036294,CG10654-RB,FBtr0332644,TSS9751
257834,3L,UTR,12507998,12508356,sti,protein_coding,FBgn0002466,sti-RB,FBtr0332643,TSS20870
257868,3L,exon,12514605,12514844,CR45168,lincRNA,FBgn0266678,CR45168-RA,FBtr0345043,TSS143
257875,3L,UTR,12515059,12515451,tral,protein_coding,FBgn0041775,tral-RE,FBtr0332638,TSS10287
258046,3L,UTR,12521129,12521345,Gcn5,protein_coding,FBgn0020388,Gcn5-RA,FBtr0075969,TSS20291
258057,3L,UTR,12523987,12524070,ver,protein_coding,FBgn0262524,ver-RA,FBtr0075960,TSS10205
258073,3L,UTR,12525093,12525153,eIF-2beta,protein_coding,FBgn0004926,eIF-2beta-RA,FBtr0075968,TSS8375
258084,3L,UTR,12527215,12527630,nst,protein_coding,FBgn0036298,nst-RA,FBtr0075967,TSS11613
258095,3L,UTR,12530436,12530747,Tsf2,protein_coding,FBgn0036299,Tsf2-RA,FBtr0075966,TSS18216
258114,3L,UTR,12533996,12534004,CG34242,protein_coding,FBgn0085271,CG34242-RB,FBtr0300028,TSS3503
258130,3L,UTR,12534590,12534654,CG10688,protein_coding,FBgn0036300,CG10688-RA,FBtr0075961,TSS7232
258137,3L,UTR,12535426,12535511,CG4069,protein_coding,FBgn0036301,CG4069-RA,FBtr0075965,TSS6803
258150,3L,UTR,12537513,12537814,sowah,protein_coding,FBgn0036302,sowah-RG,FBtr0300888,TSS5323
258208,3L,exon,12541710,12542493,CR43612,lincRNA,FBgn0263587,CR43612-RB,FBtr0309823,TSS12642
258270,3L,UTR,12580672,12581102,ara,protein_coding,FBgn0015904,ara-RB,FBtr0300551,TSS21945
258300,3L,UTR,12609631,12610768,caup,protein_coding,FBgn0015919,caup-RA,FBtr0075909,TSS12833
258315,3L,exon,12627934,12628407,CR32111,lincRNA,FBgn0052111,CR32111-RD,FBtr0344478,TSS2801
258331,3L,exon,12648907,12650510,CR43431,lincRNA,FBgn0263379,CR43431-RA,FBtr0309061,TSS9719
258336,3L,exon,12658903,12660095,CR44553,lincRNA,FBgn0265746,CR44553-RA,FBtr0340703,TSS17700
258338,3L,exon,12661826,12662247,CR44552,lincRNA,FBgn0265745,CR44552-RA,FBtr0340702,TSS16856
258340,3L,UTR,12693639,12694311,mirr,protein_coding,FBgn0014343,mirr-RC,FBtr0330077,TSS5373
258385,3L,UTR,12733364,12733622,SmD1,protein_coding,FBgn0261933,SmD1-RA,FBtr0075952,TSS17293
258394,3L,UTR,12734945,12735152,Ptp69D,protein_coding,FBgn0014007,Ptp69D-RB,FBtr0075914,TSS975
258452,3L,UTR,12741718,12741800,CG32112,protein_coding,FBgn0052112,CG32112-RE,FBtr0331553,TSS22642
258531,3L,UTR,12745344,12745407,CG32109,protein_coding,FBgn0052109,CG32109-RA,FBtr0075918,TSS20609
258544,3L,UTR,12746616,12746812,Klc,protein_coding,FBgn0010235,Klc-RA,FBtr0075951,TSS13427
258595,3L,UTR,12750119,12750201,CG10984,protein_coding,FBgn0036305,CG10984-RC,FBtr0075919,TSS1903
